playerId,year,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced
mehdi-abdesmad-1,2011,Boston College,ACC,FR,DL,3,2,1,3,0.0,0.0,0,0,,0,0,0,,,0
mehdi-abdesmad-1,2012,Boston College,ACC,SO,DL,,10,15,25,3.0,0.0,,,,,1,1,5,0,1
mehdi-abdesmad-1,2013,Boston College,ACC,JR,DL,4,8,8,16,3.5,2.0,0,0,,0,0,0,,,0
mehdi-abdesmad-1,2014,Boston College,ACC,SR,DL,2,2,2,4,0.0,0.0,0,0,,0,0,0,,,0
mehdi-abdesmad-1,2015,Boston College,ACC,SR,DL,11,35,14,49,15.0,5.5,0,0,,0,0,0,,,0
hamza-abdullah-1,2004,Washington State,Pac-10,SR,DB,11,,,,,,1,3,3.0,0,,,,,
husain-abdullah-1,2004,Washington State,Pac-10,FR,DB,11,,,,,,1,0,0.0,0,,,,,
husain-abdullah-1,2005,Washington State,Pac-10,SO,DB,10,39,15,54,0.0,0.0,2,9,4.5,0,,,,,
husain-abdullah-1,2006,Washington State,Pac-10,JR,DB,12,40,26,66,2.5,0.0,3,49,16.3,0,,,,,
husain-abdullah-1,2007,Washington State,Pac-10,SR,DB,12,54,39,93,8.5,0.0,4,114,28.5,1,,,,,
dirk-abernathy-1,1977,Bowling Green State,MAC,,DB,12,,,,,,1,4,4.0,0,,,,,
dirk-abernathy-1,1978,Bowling Green State,MAC,,DB,11,,,,,,1,26,26.0,0,,,,,
victor-abiamiri-1,2005,Notre Dame,Ind,JR,DL,12,34,14,48,15.5,8.5,,,,,2,0,0,0,1
victor-abiamiri-1,2006,Notre Dame,Ind,SR,DL,13,25,17,42,15.0,10.5,,,,,0,0,0,0,2
oday-aboushi-1,2011,Virginia,ACC,JR,OL,13,0,1,1,0.0,0.0,0,0,,0,0,0,,,0
oday-aboushi-1,2012,Virginia,ACC,SR,OL,,1,0,1,0.0,0.0,,,,,0,0,0,0,0
clifton-abraham-1,1991,Florida State,Ind,,DB,12,,,,,,2,9,4.5,0,,,,,
clifton-abraham-1,1992,Florida State,ACC,,DB,11,,,,,,3,32,10.7,1,,,,,
clifton-abraham-1,1993,Florida State,ACC,,DB,12,,,,,,1,29,29.0,1,,,,,
clifton-abraham-1,1994,Florida State,ACC,,DB,11,,,,,,2,63,31.5,0,,,,,
robert-abraham-2,1981,North Carolina State,ACC,,LB,11,,,,,,3,41,13.7,0,,,,,
johnathan-abram-1,2015,Georgia,SEC,FR,S,8,11,14,25,1.5,0.0,0,0,,0,0,0,,,0
johnathan-abram-1,2017,Mississippi State,SEC,JR,DB,12,43,28,71,5.0,2.0,0,0,,0,5,0,,,2
johnathan-abram-1,2018,Mississippi State,SEC,SR,S,13,53,46,99,9.0,3.0,2,9,4.5,0,5,1,,,1
kevin-abrams-1,1994,Syracuse,Big East,,DB,11,,,,,,,,,,,,,,
kevin-abrams-1,1995,Syracuse,Big East,,DB,10,,,,,,6,13,2.2,0,,,,,
kevin-abrams-1,1996,Syracuse,Big East,,DB,11,,,,,,,,,,,,,,
emmanuel-acho-1,2008,Texas,Big 12,FR,LB,10,6,0,6,0.0,0.0,0,0,,0,0,0,0,0,1
emmanuel-acho-1,2009,Texas,Big 12,SO,LB,14,36,9,45,9.5,2.0,1,13,13.0,0,,,,,
emmanuel-acho-1,2010,Texas,Big 12,JR,LB,11,45,34,79,8.5,2.5,1,57,57.0,1,,,,,
emmanuel-acho-1,2011,Texas,Big 12,SR,LB,13,55,55,110,14.5,3.0,0,0,,0,6,0,0,0,1
sam-acho-1,2007,Texas,Big 12,FR,DL,10,3,3,6,1.0,1.0,,,,,2,0,0,0,0
sam-acho-1,2008,Texas,Big 12,SO,DL,13,9,5,14,3.0,3.0,,,,,2,0,0,0,1
