playerId,year,school_name,conf_abbr,class,pos,g,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
jared-abbrederis-1,2010,Wisconsin,Big Ten,FR,WR,13,20,289,14.5,3,3,27,9.0,0,23,316,13.7,3
jared-abbrederis-1,2011,Wisconsin,Big Ten,SO,WR,14,55,933,17.0,8,11,62,5.6,0,66,995,15.1,8
jared-abbrederis-1,2012,Wisconsin,Big Ten,JR,WR,13,49,837,17.1,5,8,83,10.4,0,57,920,16.1,5
jared-abbrederis-1,2013,Wisconsin,Big Ten,SR,WR,13,78,1081,13.9,7,6,119,19.8,2,84,1200,14.3,9
azizuddin-abdur-raoof-1,1984,Maryland,ACC,,WR,11,25,438,17.5,2,2,-1,-0.5,0,27,437,16.2,2
azizuddin-abdur-raoof-1,1985,Maryland,ACC,,WR,11,35,671,19.2,4,2,15,7.5,0,37,686,18.5,4
azizuddin-abdur-raoof-1,1986,Maryland,ACC,,WR,11,9,169,18.8,1,1,-4,-4.0,0,10,165,16.5,1
azizuddin-abdur-raoof-1,1987,Maryland,ACC,,WR,11,39,617,15.8,3,1,1,1.0,0,40,618,15.5,3
bud-abell-1,1963,Missouri,Big 8,,WR,10,5,69,13.8,0,,,,,5,69,13.8,0
bud-abell-1,1964,Missouri,Big 8,,WR,10,3,46,15.3,1,,,,,3,46,15.3,1
derek-abney-1,2000,Kentucky,SEC,FR,WR,11,40,413,10.3,3,1,7,7.0,0,41,420,10.2,3
derek-abney-1,2001,Kentucky,SEC,SO,WR,11,66,741,11.2,6,,,,,66,741,11.2,6
derek-abney-1,2002,Kentucky,SEC,JR,WR,12,40,569,14.2,4,3,5,1.7,0,43,574,13.3,4
derek-abney-1,2003,Kentucky,SEC,SR,WR,12,51,616,12.1,5,11,148,13.5,0,62,764,12.3,5
brice-abrams-1,1990,Michigan State,Big Ten,,RB,12,1,12,12.0,0,3,13,4.3,0,4,25,6.3,0
brice-abrams-1,1991,Michigan State,Big Ten,,RB,9,2,2,1.0,0,8,24,3.0,0,10,26,2.6,0
brice-abrams-1,1992,Michigan State,Big Ten,,RB,11,5,41,8.2,0,1,1,1.0,0,6,42,7.0,0
brice-abrams-1,1993,Michigan State,Big Ten,,RB,12,26,183,7.0,0,6,20,3.3,1,32,203,6.3,1
dick-absher-1,1964,Maryland,ACC,,WR,10,22,268,12.2,1,,,,,22,268,12.2,1
dick-absher-1,1965,Maryland,ACC,,WR,10,33,382,11.6,1,,,,,33,382,11.6,1
rodney-achter-1,1979,Toledo,MAC,,DB,11,,,,,,,,,0,0,,0
rodney-achter-1,1980,Toledo,MAC,,WR,11,10,269,26.9,1,,,,,10,269,26.9,1
rodney-achter-1,1981,Toledo,MAC,,RB,12,14,361,25.8,2,11,47,4.3,1,25,408,16.3,3
rodney-achter-1,1982,Toledo,MAC,,WR,11,25,484,19.4,2,,,,,25,484,19.4,2
bob-adams-1,1967,Pacific,Ind,,TE,9,5,49,9.8,1,,,,,5,49,9.8,1
bob-adams-1,1968,Pacific,Ind,,TE,10,20,216,10.8,2,,,,,20,216,10.8,2
bruce-adams-1,1972,Kansas,Big 8,,WR,11,39,704,18.1,8,7,-1,-0.1,0,46,703,15.3,8
bruce-adams-1,1973,Kansas,Big 8,,WR,12,34,458,13.5,7,2,-14,-7.0,0,36,444,12.3,7
bruce-adams-1,1974,Kansas,Big 8,,WR,11,17,349,20.5,2,2,-11,-5.5,0,19,338,17.8,2
darvin-adams-1,2008,Auburn,SEC,FR,WR,10,3,18,6.0,0,,,,,3,18,6.0,0
darvin-adams-1,2009,Auburn,SEC,SO,WR,13,60,997,16.6,10,,,,,60,997,16.6,10
darvin-adams-1,2010,Auburn,SEC,JR,WR,14,52,963,18.5,7,,,,,52,963,18.5,7
davante-adams-1,2012,Fresno State,MWC,FR,WR,13,102,1312,12.9,14,,,,,102,1312,12.9,14
davante-adams-1,2013,Fresno State,MWC,SO,WR,13,131,1719,13.1,24,0,0,,0,131,1719,13.1,24
dick-adams-1,1968,Miami (OH),MAC,,WR,10,14,174,12.4,2,8,20,2.5,1,22,194,8.8,3
dick-adams-1,1970,Miami (OH),MAC,,,,,,,,,,,,0,0,,0
jerell-adams-1,2012,South Carolina,SEC,FR,TE,9,4,90,22.5,1,,,,,4,90,22.5,1
jerell-adams-1,2013,South Carolina,SEC,SO,TE,7,13,187,14.4,2,0,0,,0,13,187,14.4,2
jerell-adams-1,2014,South Carolina,SEC,JR,TE,9,21,279,13.3,1,0,0,,0,21,279,13.3,1
jerell-adams-1,2015,South Carolina,SEC,SR,TE,12,28,421,15.0,3,0,0,,0,28,421,15.0,3
joe-adams-1,2008,Arkansas,SEC,FR,WR,12,31,377,12.2,1,6,46,7.7,0,37,423,11.4,1
joe-adams-1,2009,Arkansas,SEC,SO,WR,10,29,568,19.6,7,5,31,6.2,1,34,599,17.6,8
joe-adams-1,2010,Arkansas,SEC,JR,WR,12,50,813,16.3,6,6,32,5.3,0,56,845,15.1,6
joe-adams-1,2011,Arkansas,SEC,SR,WR,13,54,652,12.1,3,10,139,13.9,1,64,791,12.4,4
kris-adams-1,2007,UTEP,CUSA,FR,WR,11,5,49,9.8,0,,,,,5,49,9.8,0
kris-adams-1,2008,UTEP,CUSA,SO,WR,12,50,958,19.2,14,,,,,50,958,19.2,14
kris-adams-1,2009,UTEP,CUSA,JR,WR,12,42,580,13.8,2,,,,,42,580,13.8,2
kris-adams-1,2010,UTEP,CUSA,SR,WR,13,47,1070,22.8,14,,,,,47,1070,22.8,14
kyle-adams-1,2006,Purdue,Big Ten,FR,TE,8,6,58,9.7,1,,,,,6,58,9.7,1
kyle-adams-1,2007,Purdue,Big Ten,SO,TE,13,8,109,13.6,2,,,,,8,109,13.6,2
kyle-adams-1,2008,Purdue,Big Ten,JR,TE,1,,,,,,,,,0,0,,0
kyle-adams-1,2009,Purdue,Big Ten,JR,TE,12,29,249,8.6,0,,,,,29,249,8.6,0
kyle-adams-1,2010,Purdue,Big Ten,SR,TE,12,36,244,6.8,0,,,,,36,244,6.8,0
mike-adams-1,1992,Texas,SWC,,WR,11,13,271,20.8,1,5,38,7.6,1,18,309,17.2,2
mike-adams-1,1993,Texas,SWC,,WR,11,52,908,17.5,7,5,68,13.6,0,57,976,17.1,7
mike-adams-1,1994,Texas,SWC,,WR,2,3,35,11.7,0,,,,,3,35,11.7,0
