playerId,year,school_name,conf_abbr,class,pos,g,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
don-abbey-1,1967,Penn State,Ind,,RB,10,93,386,4.2,5,10,148,14.8,4,103,534,5.2,9
don-abbey-1,1968,Penn State,Ind,,RB,10,39,164,4.2,3,1,14,14.0,0,40,178,4.5,3
don-abbey-1,1969,Penn State,Ind,,RB,10,42,228,5.4,4,2,3,1.5,0,44,231,5.3,4
karim-abdul-jabbar-1,1995,UCLA,Pac-10,,RB,12,296,1571,5.3,12,20,188,9.4,1,316,1759,5.6,13
ameer-abdullah-1,2011,Nebraska,Big Ten,FR,RB,13,42,150,3.6,3,1,11,11.0,0,43,161,3.7,3
ameer-abdullah-1,2012,Nebraska,Big Ten,SO,RB,14,226,1137,5.0,8,24,178,7.4,2,250,1315,5.3,10
ameer-abdullah-1,2013,Nebraska,Big Ten,JR,RB,13,281,1690,6.0,9,26,232,8.9,2,307,1922,6.3,11
ameer-abdullah-1,2014,Nebraska,Big Ten,SR,RB,13,264,1611,6.1,19,22,269,12.2,3,286,1880,6.6,22
david-abercrombie-1,1969,Tulane,Ind,,QB,10,65,221,3.4,2,,,,,65,221,3.4,2
david-abercrombie-1,1970,Tulane,Ind,,RB,12,244,1121,4.6,10,10,59,5.9,0,254,1180,4.6,10
walter-abercrombie-1,1978,Baylor,SWC,,RB,11,114,661,5.8,4,2,-2,-1.0,0,116,659,5.7,4
walter-abercrombie-1,1979,Baylor,SWC,,RB,11,171,886,5.2,6,6,158,26.3,1,177,1044,5.9,7
walter-abercrombie-1,1980,Baylor,SWC,,RB,12,237,1196,5.0,9,7,81,11.6,1,244,1277,5.2,10
walter-abercrombie-1,1981,Baylor,SWC,,RB,11,218,931,4.3,5,19,102,5.4,0,237,1033,4.4,5
chad-abram-1,2010,Florida State,ACC,FR,DB,11,0,0,,0,0,0,,0,0,0,,0
chad-abram-1,2011,Florida State,ACC,SO,RB,11,2,5,2.5,0,,,,,2,5,2.5,0
chad-abram-1,2012,Florida State,ACC,JR,RB,12,4,20,5.0,0,,,,,4,20,5.0,0
chad-abram-1,2013,Florida State,ACC,SR,FB,9,7,29,4.1,0,9,73,8.1,3,16,102,6.4,3
ray-abruzzese-1,1960,Alabama,SEC,,RB,10,34,138,4.1,0,5,37,7.4,0,39,175,4.5,0
ron-acks-1,1963,Illinois,Big Ten,,RB,10,8,47,5.9,1,,,,,8,47,5.9,1
ron-acks-1,1964,Illinois,Big Ten,,RB,9,49,158,3.2,1,24,198,8.3,0,73,356,4.9,1
mike-adamle-1,1968,Northwestern,Big Ten,,RB,10,39,94,2.4,0,10,108,10.8,0,49,202,4.1,0
mike-adamle-1,1969,Northwestern,Big Ten,,RB,10,140,666,4.8,5,17,260,15.3,0,157,926,5.9,5
mike-adamle-1,1970,Northwestern,Big Ten,,RB,10,304,1255,4.1,8,14,134,9.6,2,318,1389,4.4,10
curtis-adams-1,1981,Central Michigan,MAC,,RB,8,68,437,6.4,5,1,8,8.0,0,69,445,6.4,5
curtis-adams-1,1982,Central Michigan,MAC,,RB,8,204,1090,5.3,10,9,71,7.9,0,213,1161,5.5,10
curtis-adams-1,1983,Central Michigan,MAC,,RB,11,267,1431,5.4,15,7,86,12.3,1,274,1517,5.5,16
curtis-adams-1,1984,Central Michigan,MAC,,RB,11,222,1204,5.4,13,15,55,3.7,0,237,1259,5.3,13
david-adams-1,1984,Arizona,Pac-10,,RB,11,188,750,4.0,6,6,43,7.2,0,194,793,4.1,6
david-adams-1,1985,Arizona,Pac-10,,RB,10,138,511,3.7,2,9,56,6.2,0,147,567,3.9,2
david-adams-1,1986,Arizona,Pac-10,,RB,11,238,1175,4.9,7,20,162,8.1,1,258,1337,5.2,8
george-adams-3,1981,Kentucky,SEC,,RB,7,34,80,2.4,0,10,82,8.2,0,44,162,3.7,0
george-adams-3,1982,Kentucky,SEC,,RB,10,185,720,3.9,5,12,43,3.6,0,197,763,3.9,5
george-adams-3,1983,Kentucky,SEC,,RB,11,166,763,4.6,7,24,154,6.4,1,190,917,4.8,8
george-adams-3,1984,Kentucky,SEC,,RB,11,253,1085,4.3,13,33,330,10.0,1,286,1415,4.9,14
josh-adams-2,2015,Notre Dame,Ind,FR,RB,12,116,838,7.2,6,7,42,6.0,1,123,880,7.2,7
josh-adams-2,2016,Notre Dame,Ind,SO,RB,12,158,933,5.9,5,21,193,9.2,1,179,1126,6.3,6
josh-adams-2,2017,Notre Dame,Ind,JR,RB,13,206,1430,6.9,9,13,101,7.8,0,219,1531,7.0,9
joseph-addai-1,2001,LSU,SEC,FR,RB,2,8,27,3.4,0,,,,,8,27,3.4,0
joseph-addai-1,2002,LSU,SEC,FR,RB,12,80,438,5.5,4,6,81,13.5,0,86,519,6.0,4
joseph-addai-1,2003,LSU,SEC,SO,RB,12,114,520,4.6,2,14,86,6.1,1,128,606,4.7,3
joseph-addai-1,2004,LSU,SEC,JR,RB,12,101,680,6.7,3,26,294,11.3,4,127,974,7.7,7
joseph-addai-1,2005,LSU,SEC,SR,RB,13,187,911,4.9,9,20,180,9.0,1,207,1091,5.3,10
herb-adderley-1,1958,Michigan State,Big Ten,,RB,9,37,143,3.9,2,6,100,16.7,0,43,243,5.7,2
herb-adderley-1,1959,Michigan State,Big Ten,,RB,9,93,419,4.5,2,13,265,20.4,2,106,684,6.5,4
herb-adderley-1,1960,Michigan State,Big Ten,,RB,9,68,251,3.7,0,9,154,17.1,2,77,405,5.3,2
nick-adduci-1,1950,Nebraska,Big 7,,RB,9,85,547,6.4,4,1,12,12.0,0,86,559,6.5,4
nick-adduci-1,1953,Nebraska,Big 7,,RB,10,5,11,2.2,,,,,,5,11,2.2,0
tommie-agee-1,1983,Auburn,SEC,,RB,11,115,604,5.3,4,2,29,14.5,1,117,633,5.4,5
tommie-agee-1,1984,Auburn,SEC,,RB,12,94,456,4.9,1,4,34,8.5,0,98,490,5.0,1
tommie-agee-1,1985,Auburn,SEC,,RB,11,81,402,5.0,4,8,58,7.3,1,89,460,5.2,5
tommie-agee-1,1986,Auburn,SEC,,RB,11,66,271,4.1,1,18,200,11.1,1,84,471,5.6,2
salvon-ahmed-1,2017,Washington,Pac-12,FR,RB,13,61,388,6.4,3,13,77,5.9,0,74,465,6.3,3
salvon-ahmed-1,2018,Washington,Pac-12,SO,RB,14,104,608,5.8,7,21,170,8.1,0,125,778,6.2,7
salvon-ahmed-1,2019,Washington,Pac-12,JR,RB,12,188,1020,5.4,11,16,84,5.3,0,204,1104,5.4,11
jay-ajayi-1,2012,Boise State,MWC,FR,RB,11,82,548,6.7,4,1,14,14.0,0,83,562,6.8,4
jay-ajayi-1,2013,Boise State,MWC,SO,RB,13,249,1425,5.7,18,22,222,10.1,1,271,1647,6.1,19
