playerId,year,school_name,conf_abbr,class,pos,g,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
don-abbey-1,1967,Penn State,Ind,,RB,10.0,93.0,386.0,4.2,5.0,10.0,148.0,14.8,4.0,103,534,5.2,9
don-abbey-1,1968,Penn State,Ind,,RB,10.0,39.0,164.0,4.2,3.0,1.0,14.0,14.0,0.0,40,178,4.5,3
don-abbey-1,1969,Penn State,Ind,,RB,10.0,42.0,228.0,5.4,4.0,2.0,3.0,1.5,0.0,44,231,5.3,4
karim-abdul-jabbar-1,1995,UCLA,Pac-10,,RB,12.0,296.0,1571.0,5.3,12.0,20.0,188.0,9.4,1.0,316,1759,5.6,13
ameer-abdullah-1,2011,Nebraska,Big Ten,FR,RB,13.0,42.0,150.0,3.6,3.0,1.0,11.0,11.0,0.0,43,161,3.7,3
ameer-abdullah-1,2012,Nebraska,Big Ten,SO,RB,14.0,226.0,1137.0,5.0,8.0,24.0,178.0,7.4,2.0,250,1315,5.3,10
ameer-abdullah-1,2013,Nebraska,Big Ten,JR,RB,13.0,281.0,1690.0,6.0,9.0,26.0,232.0,8.9,2.0,307,1922,6.3,11
ameer-abdullah-1,2014,Nebraska,Big Ten,SR,RB,13.0,264.0,1611.0,6.1,19.0,22.0,269.0,12.2,3.0,286,1880,6.6,22
david-abercrombie-1,1969,Tulane,Ind,,QB,10.0,65.0,221.0,3.4,2.0,,,,,65,221,3.4,2
david-abercrombie-1,1970,Tulane,Ind,,RB,12.0,244.0,1121.0,4.6,10.0,10.0,59.0,5.9,0.0,254,1180,4.6,10
walter-abercrombie-1,1978,Baylor,SWC,,RB,11.0,114.0,661.0,5.8,4.0,2.0,-2.0,-1.0,0.0,116,659,5.7,4
walter-abercrombie-1,1979,Baylor,SWC,,RB,11.0,171.0,886.0,5.2,6.0,6.0,158.0,26.3,1.0,177,1044,5.9,7
walter-abercrombie-1,1980,Baylor,SWC,,RB,12.0,237.0,1196.0,5.0,9.0,7.0,81.0,11.6,1.0,244,1277,5.2,10
walter-abercrombie-1,1981,Baylor,SWC,,RB,11.0,218.0,931.0,4.3,5.0,19.0,102.0,5.4,0.0,237,1033,4.4,5
chad-abram-1,2010,Florida State,ACC,FR,DB,11.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0,0,,0
chad-abram-1,2011,Florida State,ACC,SO,RB,11.0,2.0,5.0,2.5,0.0,,,,,2,5,2.5,0
chad-abram-1,2012,Florida State,ACC,JR,RB,12.0,4.0,20.0,5.0,0.0,,,,,4,20,5.0,0
chad-abram-1,2013,Florida State,ACC,SR,FB,9.0,7.0,29.0,4.1,0.0,9.0,73.0,8.1,3.0,16,102,6.4,3
ray-abruzzese-1,1960,Alabama,SEC,,RB,10.0,34.0,138.0,4.1,0.0,5.0,37.0,7.4,0.0,39,175,4.5,0
ron-acks-1,1963,Illinois,Big Ten,,RB,10.0,8.0,47.0,5.9,1.0,,,,,8,47,5.9,1
ron-acks-1,1964,Illinois,Big Ten,,RB,9.0,49.0,158.0,3.2,1.0,24.0,198.0,8.3,0.0,73,356,4.9,1
mike-adamle-1,1968,Northwestern,Big Ten,,RB,10.0,39.0,94.0,2.4,0.0,10.0,108.0,10.8,0.0,49,202,4.1,0
mike-adamle-1,1969,Northwestern,Big Ten,,RB,10.0,140.0,666.0,4.8,5.0,17.0,260.0,15.3,0.0,157,926,5.9,5
mike-adamle-1,1970,Northwestern,Big Ten,,RB,10.0,304.0,1255.0,4.1,8.0,14.0,134.0,9.6,2.0,318,1389,4.4,10
curtis-adams-1,1981,Central Michigan,MAC,,RB,8.0,68.0,437.0,6.4,5.0,1.0,8.0,8.0,0.0,69,445,6.4,5
curtis-adams-1,1982,Central Michigan,MAC,,RB,8.0,204.0,1090.0,5.3,10.0,9.0,71.0,7.9,0.0,213,1161,5.5,10
curtis-adams-1,1983,Central Michigan,MAC,,RB,11.0,267.0,1431.0,5.4,15.0,7.0,86.0,12.3,1.0,274,1517,5.5,16
curtis-adams-1,1984,Central Michigan,MAC,,RB,11.0,222.0,1204.0,5.4,13.0,15.0,55.0,3.7,0.0,237,1259,5.3,13
david-adams-1,1984,Arizona,Pac-10,,RB,11.0,188.0,750.0,4.0,6.0,6.0,43.0,7.2,0.0,194,793,4.1,6
david-adams-1,1985,Arizona,Pac-10,,RB,10.0,138.0,511.0,3.7,2.0,9.0,56.0,6.2,0.0,147,567,3.9,2
david-adams-1,1986,Arizona,Pac-10,,RB,11.0,238.0,1175.0,4.9,7.0,20.0,162.0,8.1,1.0,258,1337,5.2,8
george-adams-3,1981,Kentucky,SEC,,RB,7.0,34.0,80.0,2.4,0.0,10.0,82.0,8.2,0.0,44,162,3.7,0
george-adams-3,1982,Kentucky,SEC,,RB,10.0,185.0,720.0,3.9,5.0,12.0,43.0,3.6,0.0,197,763,3.9,5
george-adams-3,1983,Kentucky,SEC,,RB,11.0,166.0,763.0,4.6,7.0,24.0,154.0,6.4,1.0,190,917,4.8,8
george-adams-3,1984,Kentucky,SEC,,RB,11.0,253.0,1085.0,4.3,13.0,33.0,330.0,10.0,1.0,286,1415,4.9,14
josh-adams-2,2015,Notre Dame,Ind,FR,RB,12.0,116.0,838.0,7.2,6.0,7.0,42.0,6.0,1.0,123,880,7.2,7
josh-adams-2,2016,Notre Dame,Ind,SO,RB,12.0,158.0,933.0,5.9,5.0,21.0,193.0,9.2,1.0,179,1126,6.3,6
josh-adams-2,2017,Notre Dame,Ind,JR,RB,13.0,206.0,1430.0,6.9,9.0,13.0,101.0,7.8,0.0,219,1531,7.0,9
joseph-addai-1,2001,LSU,SEC,FR,RB,2.0,8.0,27.0,3.4,0.0,,,,,8,27,3.4,0
joseph-addai-1,2002,LSU,SEC,FR,RB,12.0,80.0,438.0,5.5,4.0,6.0,81.0,13.5,0.0,86,519,6.0,4
joseph-addai-1,2003,LSU,SEC,SO,RB,12.0,114.0,520.0,4.6,2.0,14.0,86.0,6.1,1.0,128,606,4.7,3
joseph-addai-1,2004,LSU,SEC,JR,RB,12.0,101.0,680.0,6.7,3.0,26.0,294.0,11.3,4.0,127,974,7.7,7
joseph-addai-1,2005,LSU,SEC,SR,RB,13.0,187.0,911.0,4.9,9.0,20.0,180.0,9.0,1.0,207,1091,5.3,10
herb-adderley-1,1958,Michigan State,Big Ten,,RB,9.0,37.0,143.0,3.9,2.0,6.0,100.0,16.7,0.0,43,243,5.7,2
herb-adderley-1,1959,Michigan State,Big Ten,,RB,9.0,93.0,419.0,4.5,2.0,13.0,265.0,20.4,2.0,106,684,6.5,4
herb-adderley-1,1960,Michigan State,Big Ten,,RB,9.0,68.0,251.0,3.7,0.0,9.0,154.0,17.1,2.0,77,405,5.3,2
nick-adduci-1,1950,Nebraska,Big 7,,RB,9.0,85.0,547.0,6.4,4.0,1.0,12.0,12.0,0.0,86,559,6.5,4
nick-adduci-1,1953,Nebraska,Big 7,,RB,10.0,5.0,11.0,2.2,,,,,,5,11,2.2,0
tommie-agee-1,1983,Auburn,SEC,,RB,11.0,115.0,604.0,5.3,4.0,2.0,29.0,14.5,1.0,117,633,5.4,5
tommie-agee-1,1984,Auburn,SEC,,RB,12.0,94.0,456.0,4.9,1.0,4.0,34.0,8.5,0.0,98,490,5.0,1
tommie-agee-1,1985,Auburn,SEC,,RB,11.0,81.0,402.0,5.0,4.0,8.0,58.0,7.3,1.0,89,460,5.2,5
tommie-agee-1,1986,Auburn,SEC,,RB,11.0,66.0,271.0,4.1,1.0,18.0,200.0,11.1,1.0,84,471,5.6,2
salvon-ahmed-1,2017,Washington,Pac-12,FR,RB,13.0,61.0,388.0,6.4,3.0,13.0,77.0,5.9,0.0,74,465,6.3,3
salvon-ahmed-1,2018,Washington,Pac-12,SO,RB,14.0,104.0,608.0,5.8,7.0,21.0,170.0,8.1,0.0,125,778,6.2,7
salvon-ahmed-1,2019,Washington,Pac-12,JR,RB,12.0,188.0,1020.0,5.4,11.0,16.0,84.0,5.3,0.0,204,1104,5.4,11
jay-ajayi-1,2012,Boise State,MWC,FR,RB,11.0,82.0,548.0,6.7,4.0,1.0,14.0,14.0,0.0,83,562,6.8,4
jay-ajayi-1,2013,Boise State,MWC,SO,RB,13.0,249.0,1425.0,5.7,18.0,22.0,222.0,10.1,1.0,271,1647,6.1,19
jay-ajayi-1,2014,Boise State,MWC,JR,RB,14.0,347.0,1823.0,5.3,28.0,50.0,535.0,10.7,4.0,397,2358,5.9,32
cam-akers-1,2017,Florida State,ACC,FR,RB,13.0,194.0,1025.0,5.3,7.0,16.0,116.0,7.3,1.0,210,1141,5.4,8
cam-akers-1,2018,Florida State,ACC,SO,RB,12.0,161.0,706.0,4.4,6.0,23.0,145.0,6.3,2.0,184,851,4.6,8
cam-akers-1,2019,Florida State,ACC,JR,RB,11.0,231.0,1144.0,5.0,14.0,30.0,225.0,7.5,4.0,261,1369,5.2,18
marty-akins-1,1972,Texas,SWC,,QB,5.0,16.0,35.0,2.2,1.0,,,,,16,35,2.2,1
marty-akins-1,1973,Texas,SWC,,QB,10.0,118.0,492.0,4.2,8.0,,,,,118,492,4.2,8
marty-akins-1,1974,Texas,SWC,,QB,11.0,132.0,659.0,5.0,10.0,,,,,132,659,5.0,10
marty-akins-1,1975,Texas,SWC,,QB,11.0,149.0,777.0,5.2,7.0,,,,,149,777,5.2,7
branden-albert-1,2007,Virginia,ACC,JR,OL,12.0,1.0,2.0,2.0,0.0,,,,,1,2,2.0,0
alvester-alexander-1,2009,Wyoming,MWC,FR,RB,13.0,136.0,640.0,4.7,7.0,8.0,101.0,12.6,0.0,144,741,5.1,7
alvester-alexander-1,2010,Wyoming,MWC,SO,RB,12.0,189.0,792.0,4.2,14.0,15.0,134.0,8.9,0.0,204,926,4.5,14
alvester-alexander-1,2011,Wyoming,MWC,JR,RB,13.0,152.0,695.0,4.6,6.0,12.0,200.0,16.7,0.0,164,895,5.5,6
charles-alexander-1,1975,LSU,SEC,,RB,11.0,108.0,301.0,2.8,2.0,1.0,6.0,6.0,0.0,109,307,2.8,2
charles-alexander-1,1976,LSU,SEC,,RB,11.0,155.0,876.0,5.7,7.0,8.0,82.0,10.3,0.0,163,958,5.9,7
charles-alexander-1,1977,LSU,SEC,,RB,11.0,311.0,1686.0,5.4,17.0,12.0,80.0,6.7,0.0,323,1766,5.5,17
charles-alexander-1,1978,LSU,SEC,,RB,11.0,281.0,1172.0,4.2,14.0,28.0,263.0,9.4,2.0,309,1435,4.6,16
curtis-alexander-1,1994,Alabama,SEC,,RB,3.0,19.0,75.0,3.9,1.0,,,,,19,75,3.9,1
curtis-alexander-1,1995,Alabama,SEC,,RB,6.0,22.0,75.0,3.4,0.0,,,,,22,75,3.4,0
curtis-alexander-1,1996,Alabama,SEC,,RB,7.0,61.0,240.0,3.9,2.0,7.0,105.0,15.0,1.0,68,345,5.1,3
curtis-alexander-1,1997,Alabama,SEC,,RB,11.0,155.0,729.0,4.7,6.0,16.0,133.0,8.3,2.0,171,862,5.0,8
dan-alexander-1,1997,Nebraska,Big 12,,RB,6.0,16.0,68.0,4.3,0.0,,,,,16,68,4.3,0
dan-alexander-1,1998,Nebraska,Big 12,,RB,9.0,70.0,369.0,5.3,4.0,,,,,70,369,5.3,4
dan-alexander-1,1999,Nebraska,Big 12,,RB,12.0,134.0,865.0,6.5,8.0,4.0,56.0,14.0,0.0,138,921,6.7,8
dan-alexander-1,2000,Nebraska,Big 12,SR,RB,11.0,182.0,1154.0,6.3,8.0,2.0,17.0,8.5,0.0,184,1171,6.4,8
jeff-alexander-1,1983,Tulane,Ind,,RB,2.0,1.0,2.0,2.0,0.0,,,,,1,2,2.0,0
jeff-alexander-1,1984,Tulane,Ind,,RB,2.0,8.0,16.0,2.0,0.0,1.0,1.0,1.0,0.0,9,17,1.9,0
kermit-alexander-1,1960,UCLA,AAWU,,RB,10.0,6.0,23.0,3.8,0.0,6.0,33.0,5.5,0.0,12,56,4.7,0
kermit-alexander-1,1961,UCLA,AAWU,,RB,11.0,40.0,213.0,5.3,1.0,14.0,297.0,21.2,1.0,54,510,9.4,2
