player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,def_targets,def_cmp,Component_1,Component_2,Component_3,kmeans_pca_cluster
AbduHa20,DB,47,8,0,0.0,5.0,3.0,0.0,88,68.0,20.0,0.0,0.0,0.0,0.0,-1.6867244675847222,-0.497450776723,-0.1250121554562317,0
AbraJo01,S,22,22,3,0.0,10.0,0.0,0.0,153,97.0,56.0,5.0,7.0,71.0,54.0,-0.6571356822023792,1.0154950470953652,0.8649948687670499,0
AckeKe00,DB,40,15,4,0.0,12.0,0.0,0.0,105,92.0,13.0,2.0,0.0,0.0,0.0,-1.6061539482078129,-0.43653111729078375,-0.32403198308944425,0
AdamBl20,DB,50,0,0,0.0,0.0,1.0,1.0,52,45.0,7.0,2.0,2.0,0.0,0.0,-1.8677908144832247,-0.5026623262539383,0.38249693941676965,0
AdamJa00,S,66,66,2,1.0,30.0,7.0,21.5,411,306.0,105.0,42.0,37.0,173.0,106.0,7.074368526350666,0.9613465252015665,8.707888390206591,1
AdamPh00,DB,79,11,5,0.0,15.0,1.0,0.0,128,108.0,20.0,4.0,1.0,0.0,0.0,-1.0016401904497028,-0.5816826333385757,-0.31222392520067777,0
AddeNa00,S,26,21,1,0.0,7.0,0.0,0.0,120,99.0,21.0,1.0,1.0,60.0,38.0,-1.5080486139593627,0.779259513615324,0.059692116295432154,0
AdebPa00,DB,5,5,2,0.0,2.0,0.0,0.0,23,20.0,3.0,0.0,0.0,36.0,22.0,-2.3795279130264633,0.394218490618645,-0.032745917104095766,0
AfalAl99,DB,29,15,1,0.0,8.0,1.0,2.0,73,54.0,19.0,3.0,3.0,0.0,0.0,-1.471706745881681,-0.5318958272292597,0.6288137918451894,0
AgneJa00,DB,54,4,0,0.0,1.0,1.0,0.0,30,28.0,2.0,1.0,0.0,18.0,14.0,-2.0603257143637985,-0.029192951872023937,-0.07413555064573801,0
AikeWa00,DB,93,4,2,0.0,3.0,1.0,0.0,93,70.0,23.0,1.0,0.0,14.0,12.0,-1.3994002271470156,-0.22506677288940227,-0.22794192022280382,0
AlexGe99,DB,45,30,4,0.0,14.0,3.0,2.0,159,121.0,38.0,3.0,2.0,0.0,0.0,-0.5726792422253058,-0.672707843341836,0.2768103946322602,0
AlexJa00,DB,48,46,5,0.0,44.0,2.0,1.5,188,160.0,28.0,7.0,2.0,303.0,171.0,0.9013588646508558,5.038038271183704,0.21249863683512024,2
