,age,team,g,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_perc,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,rush_att,rush_yds,rush_td,rush_first_down,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,snaps_played,total_snaps,snap_played_percentage,wins,losses,ties,win_percentage,player_id,position,av
0,43,TAM,16,16,401.0,610.0,65.7,4633.0,40.0,6.6,12.0,2.0,233.0,50.0,7.6,8.0,11.6,289.6,102.2,72.5,21.0,143.0,3.3,7.12,7.53,3.0,3.0,30.0,6.0,3.0,6.0,4.0,0.2,0.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.2,6.0,3.0,4.0,1024.0,1078.0,0.95,11.0,5.0,0.0,0.6875,BradTo00,QB,
1,38,NYG,4,4,91.0,147.0,61.9,1042.0,6.0,4.1,5.0,3.4,47.0,55.0,7.1,6.4,11.5,260.5,82.6,36.2,5.0,44.0,3.3,6.57,5.88,0.0,0.0,4.0,7.0,0.0,1.0,6.0,1.8,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,7.0,0.0,3.0,248.0,256.0,0.97,1.0,3.0,0.0,0.25,MannEl00,QB,
2,38,NOR,16,16,386.0,536.0,72.0,4334.0,23.0,4.3,8.0,1.5,203.0,54.0,8.1,8.3,11.2,270.9,103.9,62.5,20.0,145.0,3.6,7.53,7.71,2.0,2.0,33.0,12.0,2.0,7.0,7.0,0.4,0.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.4,12.0,2.0,5.0,1032.0,1032.0,1.0,11.0,5.0,0.0,0.6875,BreeDr00,QB,
3,38,ATL,6,1,50.0,67.0,74.6,580.0,3.0,4.5,1.0,1.5,30.0,35.0,8.7,8.9,11.6,96.7,109.0,80.2,2.0,19.0,2.9,8.13,8.35,0.0,0.0,3.0,-3.0,0.0,0.0,-1.0,-1.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-3.0,0.0,1.0,99.0,412.0,0.24,0.0,0.0,0.0,0.0,SchaMa00,QB,
4,38,ARI,7,7,164.0,267.0,61.4,1978.0,9.0,3.4,7.0,2.6,95.0,46.0,7.4,6.9,12.1,282.6,84.4,50.0,22.0,150.0,7.6,6.33,5.86,2.0,2.0,14.0,12.0,0.0,5.0,4.0,0.9,1.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.9,12.0,0.0,2.0,459.0,483.0,0.95,3.0,4.0,0.0,0.42857142857142855,PalmCa00,QB,
5,38,LAC,16,16,390.0,591.0,66.0,4615.0,23.0,3.9,20.0,3.4,217.0,84.0,7.8,7.1,11.8,288.4,88.5,50.5,34.0,222.0,5.4,7.03,6.32,1.0,2.0,12.0,29.0,0.0,2.0,12.0,2.4,1.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.4,29.0,0.0,8.0,1030.0,1062.0,0.97,5.0,11.0,0.0,0.3125,RivePh00,QB,
6,38,PIT,15,15,399.0,608.0,65.6,3803.0,33.0,5.4,10.0,1.6,193.0,84.0,6.3,6.6,9.5,253.5,94.1,60.1,13.0,118.0,2.1,5.93,6.27,4.0,4.0,25.0,11.0,0.0,3.0,11.0,0.4,0.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.4,11.0,0.0,5.0,1010.0,1031.0,0.98,12.0,3.0,0.0,0.8,RoetBe00,QB,
7,38,NYJ,13,13,267.0,397.0,67.3,2926.0,18.0,4.5,9.0,2.3,137.0,69.0,7.4,7.3,11.0,225.1,94.5,55.6,39.0,264.0,8.9,6.11,6.0,1.0,2.0,37.0,124.0,5.0,14.0,22.0,3.4,9.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.4,124.0,5.0,11.0,819.0,836.0,0.98,5.0,8.0,0.0,0.38461538461538464,McCoJo01,QB,
8,38,NWE,16,16,402.0,624.0,64.4,4770.0,36.0,5.8,7.0,1.1,229.0,76.0,7.6,8.3,11.9,298.1,102.2,68.4,38.0,225.0,5.7,6.87,7.48,2.0,2.0,34.0,53.0,3.0,14.0,13.0,1.6,3.3,2.1,1.0,1.0,36.0,36.0,0.0,1.0,36.0,0.1,2.3,100.0,36.0,35.0,2.5,89.0,3.0,6.0,1103.0,1114.0,0.99,12.0,4.0,0.0,0.75,BradTo00,QB,
9,38,MIA,9,7,183.0,267.0,68.5,2091.0,13.0,4.9,8.0,3.0,106.0,70.0,7.8,7.5,11.4,232.3,95.6,76.9,14.0,65.0,5.0,7.21,6.85,1.0,1.0,30.0,151.0,2.0,12.0,17.0,5.0,16.8,3.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,31.0,4.9,151.0,2.0,2.0,496.0,590.0,0.84,4.0,3.0,0.0,0.5714285714285714,FitzRy00,QB,
