,age,team,g,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,player_id,position,snaps_played,total_snaps,snap_played_percentage
0,22,TAM,16,3,23,17,89,5.2,0,2,16,1.1,5.6,73.9,3.9,2,2,0,0,2,1.0,0.1,0.1,19,4.8,91,0,0,1.0,CookJa00,FB,,,
1,22,GNB,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,McHuSe00,FB,,,
2,22,NOR,14,9,18,12,65,5.4,0,1,10,0.9,4.6,66.7,3.6,29,131,0,5,16,4.5,9.4,2.1,41,4.8,196,0,1,1.0,SmitTe00,FB,,,
3,22,DET,13,6,9,9,53,5.9,0,4,12,0.7,4.1,100.0,5.9,2,4,0,0,4,2.0,0.3,0.2,11,5.2,57,0,0,0.0,FeltJe00,FB,,,
4,22,DEN,12,6,19,14,179,12.8,1,9,47,1.2,14.9,73.7,9.4,68,343,5,25,19,5.0,28.6,5.7,82,6.4,522,6,0,4.0,HillPe00,FB,,,
5,22,HOU,16,5,4,1,24,24.0,0,1,24,0.1,1.5,25.0,6.0,0,0,0,0,0,0.0,0.0,0.0,1,24.0,24,0,0,0.0,ProsJa00,FB,169.0,1127.0,0.15
6,23,TAM,14,1,6,4,43,10.8,0,3,14,0.3,3.1,66.7,7.2,0,0,0,0,0,0.0,0.0,0.0,4,10.8,43,0,0,0.0,CookJa00,FB,,,
7,23,DET,3,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,McHuSe00,FB,,,
8,23,NOR,5,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,NorrMo00,FB,,,
9,23,NOR,14,9,8,4,30,7.5,2,3,12,0.3,2.1,50.0,3.8,5,8,0,1,6,1.6,0.6,0.4,9,4.2,38,2,1,0.0,SmitTe00,FB,,,
10,23,DEN,11,5,7,5,44,8.8,0,4,13,0.5,4.0,71.4,6.3,4,33,1,2,28,8.3,3.0,0.4,9,8.6,77,1,0,1.0,JanoAn00,FB,,,
11,23,SEA,15,1,8,6,29,4.8,0,1,7,0.4,1.9,75.0,3.6,5,21,0,1,14,4.2,1.4,0.3,11,4.5,50,0,0,0.0,SchmOw00,FB,,,
12,23,WAS,4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0,3,3.0,0.8,0.3,1,3.0,3,0,0,0.0,BrouNe00,FB,,,
13,23,DET,13,8,17,13,133,10.2,0,5,27,1.0,10.2,76.5,7.8,15,46,0,7,10,3.1,3.5,1.2,28,6.4,179,0,0,1.0,FeltJe00,FB,,,
14,23,SEA,16,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,11,0,0,7,5.5,0.7,0.1,2,5.5,11,0,0,0.0,EvanHe00,FB,,,
15,23,SDG,16,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,PinnAn00,FB,,,
16,23,DET,16,7,6,6,39,6.5,1,3,12,0.4,2.4,100.0,6.5,4,2,0,1,2,0.5,0.1,0.3,10,4.1,41,1,0,0.0,BurtMi00,FB,,,
17,23,NOR,16,8,7,6,42,7.0,0,2,17,0.4,2.6,85.7,6.0,3,7,0,1,4,2.3,0.4,0.2,9,5.4,49,0,0,0.0,KarnMi00,FB,,,
18,23,DAL,14,1,4,2,9,4.5,0,1,6,0.1,0.6,50.0,2.3,4,7,0,2,3,1.8,0.5,0.3,6,2.7,16,0,0,0.0,MartJa01,FB,,,
19,23,SDG,16,3,13,12,91,7.6,1,4,16,0.8,5.7,92.3,7.0,19,95,1,5,28,5.0,5.9,1.2,31,6.0,186,2,1,2.0,HestJa00,FB,,,
20,23,DEN,14,2,6,4,19,4.8,0,0,6,0.3,1.4,66.7,3.2,13,54,1,4,13,4.2,3.9,0.9,17,4.3,73,1,1,0.0,HillPe00,FB,,,
21,23,CIN,16,13,20,15,82,5.5,1,4,16,0.9,5.1,75.0,4.1,15,41,1,5,12,2.7,2.6,0.9,30,4.1,123,2,0,1.0,JohnJe00,FB,,,
22,23,HOU,16,2,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,6,33,0,3,16,5.5,2.1,0.4,6,5.5,33,0,0,0.0,ProsJa00,FB,180.0,1200.0,0.15
23,23,HOU,16,10,10,5,33,6.6,1,2,14,0.3,2.1,50.0,3.3,7,14,0,2,6,2.0,0.9,0.4,12,3.9,47,1,0,0.0,BaxtJa00,FB,,,
24,23,OAK,10,1,3,2,2,1.0,0,0,6,0.2,0.2,66.7,0.7,40,203,0,10,53,5.1,20.3,4.0,42,4.9,205,0,1,1.0,FargJu00,FB,,,
25,23,ATL,16,11,34,21,122,5.8,2,6,24,1.3,7.6,61.8,3.6,38,168,0,13,15,4.4,10.5,2.4,59,4.9,290,2,0,2.0,GrifJu00,FB,,,
26,23,WAS,16,0,13,11,121,11.0,1,5,22,0.7,7.6,84.6,9.3,3,22,0,2,20,7.3,1.4,0.2,14,10.2,143,1,1,1.0,CartRo01,FB,,,
27,23,CAR,9,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,ArmaAl00,FB,,,
28,23,CLE,16,1,7,6,60,10.0,0,2,29,0.4,3.8,85.7,8.6,3,2,0,0,2,0.7,0.1,0.2,9,6.9,62,0,0,0.0,VickLa00,FB,,,
29,23,GNB,15,0,1,1,18,18.0,0,1,18,0.1,1.2,100.0,18.0,0,0,0,0,0,0.0,0.0,0.0,1,18.0,18,0,0,0.0,RipkAa00,FB,,,
30,23,NWE,5,2,8,4,17,4.3,0,0,15,0.8,3.4,50.0,2.1,18,58,0,2,11,3.2,11.6,3.6,22,3.4,75,0,0,1.0,PassPa00,FB,,,
31,23,BAL,6,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,MughOv00,FB,,,
32,23,NYJ,16,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,1,6,4.5,0.6,0.1,2,4.5,9,0,0,0.0,AskeB.00,FB,,,
33,23,CLE,9,3,5,4,27,6.8,0,2,17,0.4,3.0,80.0,5.4,0,0,0,0,0,0.0,0.0,0.0,4,6.8,27,0,0,0.0,VitaDa00,FB,,,
34,23,BAL,12,4,8,7,32,4.6,0,1,8,0.6,2.7,87.5,4.0,5,4,0,0,4,0.8,0.3,0.4,12,3.0,36,0,0,0.0,GreeJu00,FB,,,
35,23,MIA,16,1,2,2,14,7.0,0,1,13,0.1,0.9,100.0,7.0,0,0,0,0,0,0.0,0.0,0.0,2,7.0,14,0,0,0.0,DyerDe00,FB,,,
36,32,SFO,16,11,9,4,20,5.0,0,1,8,0.3,1.3,44.4,2.2,3,0,0,1,1,0.0,0.0,0.2,7,2.9,20,0,0,0.0,NorrMo00,FB,,,
37,32,NOR,16,6,11,7,41,5.9,1,4,18,0.4,2.6,63.6,3.7,2,2,0,0,2,1.0,0.1,0.1,9,4.8,43,1,0,0.0,EvanHe00,FB,,,
38,32,OAK,15,0,6,4,24,6.0,0,1,9,0.3,1.6,66.7,4.0,4,45,0,1,35,11.3,3.0,0.3,8,8.6,69,0,0,0.0,CartRo01,FB,,,
39,24,TAM,14,8,30,20,120,6.0,1,8,19,1.4,8.6,66.7,4.0,1,-1,0,0,-1,-1.0,-0.1,0.1,21,5.7,119,1,0,1.0,CookJa00,FB,,,
40,24,MIN,1,0,3,2,26,13.0,0,2,18,2.0,26.0,66.7,8.7,0,0,0,0,0,0.0,0.0,0.0,2,13.0,26,0,0,0.0,MillGa01,FB,,,
41,24,NWE,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,15,51,0,2,15,3.4,25.5,7.5,15,3.4,51,0,0,0.0,IoseJo00,FB,,,
42,24,STL,16,7,11,9,69,7.7,0,3,15,0.6,4.3,81.8,6.3,1,0,0,0,0,0.0,0.0,0.1,10,6.9,69,0,0,1.0,HedgMa00,FB,,,
43,24,DET,6,2,5,3,25,8.3,0,2,11,0.5,4.2,60.0,5.0,0,0,0,0,0,0.0,0.0,0.0,3,8.3,25,0,0,0.0,McHuSe00,FB,,,
44,24,HOU,13,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,NorrMo00,FB,,,
45,24,NOR,16,8,13,9,30,3.3,0,1,10,0.6,1.9,69.2,2.3,5,11,0,0,5,2.2,0.7,0.3,14,2.9,41,0,1,0.0,SmitTe00,FB,,,
46,24,PHI,7,0,2,2,15,7.5,0,1,13,0.3,2.1,100.0,7.5,12,42,0,2,10,3.5,6.0,1.7,14,4.1,57,0,0,0.0,TapeTh00,FB,,,
47,24,OAK,14,1,1,1,1,1.0,0,0,1,0.1,0.1,100.0,1.0,0,0,0,0,0,0.0,0.0,0.0,1,1.0,1,0,0,0.0,ONeaOr00,FB,,,
48,24,DEN,16,4,6,4,35,8.8,0,2,16,0.3,2.2,66.7,5.8,6,12,1,3,4,2.0,0.8,0.4,10,4.7,47,1,0,0.0,JanoAn00,FB,,,
49,24,SEA,15,1,11,6,21,3.5,1,2,10,0.4,1.4,54.5,1.9,0,0,0,0,0,0.0,0.0,0.0,6,3.5,21,1,0,0.0,SchmOw00,FB,,,
50,24,WAS,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,BrouNe00,FB,,,
51,24,DET,16,2,15,8,54,6.8,0,3,19,0.5,3.4,53.3,3.6,22,76,0,4,9,3.5,4.8,1.4,30,4.3,130,0,1,1.0,FeltJe00,FB,,,
52,24,SEA,16,1,12,8,41,5.1,0,3,13,0.5,2.6,66.7,3.4,17,53,0,4,8,3.1,3.3,1.1,25,3.8,94,0,1,1.0,EvanHe00,FB,,,
53,24,SDG,1,0,3,3,26,8.7,0,2,14,3.0,26.0,100.0,8.7,9,26,0,2,11,2.9,26.0,9.0,12,4.3,52,0,1,1.0,PinnAn00,FB,,,
54,24,DET,15,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,BurtMi00,FB,,,
55,24,NOR,16,14,13,10,61,6.1,0,2,10,0.6,3.8,76.9,4.7,6,12,0,2,3,2.0,0.8,0.4,16,4.6,73,0,0,0.0,KarnMi00,FB,,,
