,rec_yds_per_rec,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,yds_per_touch,season_count,targets_per_g,touches_per_g,yds_from_scrimmage_per_g,rush_receive_td_per_g,rec_td_per_g,rush_first_down_per_g,fumbles_per_g,rush_td_per_g,rec_first_down_per_g,snap_percentage,position,college_id
AbbrJa00,11.666666666666666,0.5,6.333333333333333,49.73333333333333,5.733333333333333,0.0,0.0,0.0,11.666666666666666,3,1.1363636363636365,0.5909090909090909,7.409090909090909,0.0,0.0,0.0,0.045454545454545456,0.0,0.3181818181818182,0.15810276679841898,WR,jared-abbrederis-1
AdamDa01,12.0875,5.75,70.3125,63.875,7.75,0.0,0.0,0.0,12.0875,8,8.61111111111111,5.592592592592593,68.0925925925926,0.6018518518518519,0.6018518518518519,0.0,0.046296296296296294,0.0,3.3796296296296298,0.832297278629645,WR,davante-adams-1
AdamJo01,7.0,0.1,0.8,100.0,7.0,4.3,1.4,0.3,5.0,1,0.1111111111111111,0.4444444444444444,2.2222222222222223,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.04,WR,joe-adams-1
AghoNe00,12.785714285714286,3.0,38.042857142857144,57.6,7.371428571428572,3.7857142857142856,0.6428571428571429,0.02040816326530612,12.457142857142857,7,5.1875,3.1979166666666665,39.697916666666664,0.2916666666666667,0.2916666666666667,0.052083333333333336,0.052083333333333336,0.0,1.6875,0.5127887787060476,WR,nelson-agholor-1
AikeSa00,10.675,0.5,6.6875,50.1125,5.775,0.0,0.0,0.0,10.675,8,0.9894736842105263,0.5052631578947369,7.2,0.021052631578947368,0.021052631578947368,0.0,0.0,0.0,0.30526315789473685,0.5127887787060474,WR,sam-aiken-1
AlfoMa00,15.0,1.0,15.0,100.0,15.0,0.0,0.0,0.0,15.0,1,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5127887787060474,WR,mario-alford-1
AlleKe00,11.566666666666666,6.422222222222222,73.54444444444444,70.55555555555556,8.133333333333333,1.9000000000000001,0.6888888888888889,0.012345679012345678,11.488888888888889,9,9.212962962962964,6.444444444444445,74.96296296296296,0.4074074074074074,0.4074074074074074,0.046296296296296294,0.12037037037037036,0.0,3.990740740740741,0.8614171086631307,WR,keenan-allen-1
AlliAu00,13.100000000000001,0.7,9.2,44.85,5.800000000000001,1.25,0.2,0.07500000000000001,11.25,2,1.5384615384615385,0.8076923076923077,9.038461538461538,0.0,0.0,0.0,0.15384615384615385,0.0,0.5,0.5127887787060474,WR,aundrae-allison-1
AndeDa01,13.414285714285715,1.2571428571428573,14.014285714285714,65.08571428571429,9.485714285714286,0.0,0.0,0.0,13.414285714285715,7,2.084507042253521,1.323943661971831,14.577464788732394,0.07042253521126761,0.07042253521126761,0.0,0.014084507042253521,0.0,0.7605633802816901,0.5127887787060476,WR,david-anderson-1
ArceJJ00,12.733333333333334,0.3666666666666667,7.066666666666666,31.833333333333332,6.099999999999999,0.0,0.0,0.0,12.733333333333334,3,0.9375,0.4375,7.9375,0.03125,0.03125,0.0,0.0,0.0,0.34375,0.5127887787060474,WR,jj-arcega-whiteside-1
ArchDr00,3.3,0.6,1.9,70.0,2.3,4.0,3.3,0.8,3.7,1,0.8333333333333334,1.4166666666666667,5.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.060024009603841535,WR,dri-archer-1
AromDe00,15.1,1.3199999999999998,19.56,43.94,6.5200000000000005,0.0,0.0,0.0,15.1,5,3.1147540983606556,1.278688524590164,19.557377049180328,0.08196721311475409,0.08196721311475409,0.0,0.01639344262295082,0.0,0.9672131147540983,0.33989071038251367,WR,devin-aromashodu-1
ArriAd00,13.4,3.75,43.4,72.25,9.55,0.0,0.0,0.0,13.4,2,2.4,1.8,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5127887787060474,WR,adrian-arrington-1
AtemMa00,11.166666666666666,0.8666666666666667,10.833333333333334,32.800000000000004,5.533333333333334,0.0,0.0,0.0,11.166666666666666,3,2.1578947368421053,1.0526315789473684,14.210526315789474,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.5789473684210527,0.5127887787060474,WR,marcell-ateman-1
AusbDa00,9.033333333333333,0.3,3.1,69.43333333333334,6.066666666666666,-0.6666666666666666,-0.06666666666666667,0.011111111111111112,8.033333333333333,3,0.5294117647058824,0.35294117647058826,3.4705882352941178,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,0.0924775707384403,WR,david-ausberry-1
AustTa00,9.38888888888889,1.9888888888888887,18.41111111111111,64.01111111111112,5.7444444444444445,6.511111111111111,10.266666666666667,0.16419753086419753,8.755555555555555,9,3.638095238095238,4.0285714285714285,32.695238095238096,0.23809523809523808,0.14285714285714285,0.5904761904761905,0.22857142857142856,0.09523809523809523,0.8952380952380953,0.48019064641048553,WR,tavon-austin-1
AustTe00,13.55,0.75,9.95,53.1,7.35,0.0,0.0,0.0,13.55,2,1.7222222222222223,0.8333333333333334,10.222222222222221,0.0,0.0,0.0,0.05555555555555555,0.0,0.5,0.5127887787060474,WR,terrence-austin-1
